source,target
খোঁজ খোঁজ করিয়া বন্দুক জুটিল তো চকমকি জুটিল না।,"খোঁজ করে বন্দুক জোড়া লাগানো হলো, চকমকি জোড়া লাগানো হলো না।"
এখানে আর দুই দিন থাকিলে মাঝে মাঝে আপনাকে স্পর্শ করিয়া দেখিতে হইবে জীবিত আছি কি না।,"দি এখানে আর দুই দিন থাকে, তোমাকে মাঝে মাঝে স্পর্শ করতে হবে আমি জীবিত আছি কি"
"কী হবে সুবোধের ব্যারিস্টার হয়ে, কুমুর ভবিষ্যৎ ফতুর করে যদি তার দাম দিতে হয়?","ুবোধের ব্যারিস্টার হওয়ার কী হবে, যদি কুমোরের ভবিষ্যৎকে ফতুর করে মূল্য দিতে"
"মেয়েটি কান থেকে ফুল খসিয়ে রাজপুত্রের হাতে দিয়ে বললে, ‘এই নাও।","মেয়েটি তার কান থেকে ফুল বের করে রাজকুমারের হাতে দিয়ে বলল, ""এই যে।"
এ যেন কী-এক-রকম!,এটা একটা ধরনের ব্যাপার!
"তাহাকে মুখে সান্ত্বনা দিয়া কী হইবে, যখন বিনোদিনীকে পরিত্যাগ করিবার পথ মহেন্দ্র নিজের হাতে একেবারে বন্ধ করিয়া দিয়াছে আশা সংকোচে মরিয়া গিয়া বসিয়া রহিল।","হেন্দ্র যখন বিনোদীকে ছেড়ে যাওয়ার পথ পুরোপুরি বন্ধ করে দিলেন, তখন আশা ভয়ে মরিয়া হয়ে বসে র"
"রঘুপতি নক্ষত্ররায়কে কহিলেন, “কুমার, তুমি রাজা হইবে।”","রঘুপতি নক্ষত্ররায়কে বললেন, ""কুমার, তুমি হবে রাজা।"""
"বিভার কাছে যে-সব ছেলেমেয়ে মানুষ হচ্ছে, ও তাদের পড়ায় সাহায্য করে।","যে-ছেলেমেয়েরা বিভার কাছে বড় হচ্ছে, তাদের পড়তে সাহায্য করে।"
"অমূল্য চাদরের ভিতর তেকে একটা পুঁটলি বের করে বললে, দিদি, ছ-হাজার টাকা এনেছি।","মূল্য চাদরের মধ্যে একটা পুঁটলি বের করে বলল, বোন, আমি ছয় হাজার টাকা ন"
"এঁদের নূতন আদর, পাতে যা পড়ছে তাতেই খুশি হচ্ছেন।","তাদের নতুন স্নেহ, তারা তাদের প্লেটে যা পড়ে তাতে খুশি।"
"সেই কানমলা না যায় ছাড়ানো, তার থেকে না যায় পালানো, তার বিরুদ্ধে না চলে নালিশ, তার সম্বন্ধে না আছে বিচার।","ানমলা না যায়, তার কাছ থেকে পালিয়ে না যায়, তার বিরুদ্ধে অভিযোগ না "
"ঠাট্টার মতো মোটেই শোনাচ্ছে না, ভয়ানক কড়া, কথা একেবারে খট্‌খটে শুকনো।","এটা মোটেও মজার মনে হচ্ছে না, এটা খুব কঠিন, এটা খুব শুষ্ক।"
"মা বললে, ‘এখন বর এলেই হয়।","মা বললেন, 'এখন বর আসবে।"
একদিন সন্ধ্যাবেলায় ক্যাশবাক্স নিয়ে হিসেব মেলাতে বসেছিলুম।,একদিন সন্ধ্যায় আমি ক্যাশবক্স নিয়ে হিসাব করতে বসেছিলাম।
"শ্রীশ কহিল, “আসুন রসিকবাবু, আপনি উঠছেন না যে।”","শ্রীশ বললেন, ""চলো রসিকবাবু, তুমি উঠছো না।"""
আমাদের দলবল ভিতরে ভিতরে ছড়িয়ে গেছে।,আমাদের দল ভিতরে ছড়িয়ে পড়েছে।
আর আমাদের সুকুমারমূর্তি অবলাকান্তবাবুকে কোনো স্ত্রীলোক পুরুষ বলে জ্ঞানই করে না।,আর আমাদের সুকুমারমূর্তি অবলাকান্ত বাবুকে পুরুষ হিসেবে বিবেচনা করে না।
ওরা নিজের হাতে সৃষ্টি করবার নেশায় যখন মেতে ওঠে তখন সৃষ্টিকর্তার সৃষ্টিকে চুরমার করতেই ওদের আনন্দ।,"ারা যখন নিজেদের হাতে সৃষ্টি করার অভ্যাস গড়ে তোলে, তখন সৃষ্টিকর্তার সৃষ্টিকে ভেঙে ফেলার আনন্দ তাদের আ"
"তোমার মা, তোমার বোন?","তোমার মা, তোমার বোন?"
"আপনারা সর্বদাই অপরাধ করবার সুযোগ পান এবং সেজন্যে দণ্ডভোগ করে কৃতার্থ হন, আমি দৈবক্রমে একটা অপরাধ করবার সুবিধা পেয়েছিলুম, কিন্তু এতই অধম যে দণ্ডনীয় বলেও গণ্য হলেম না, ক্ষমা পাবার যোগ্যতাও লাভ করলেম না!","পনি সবসময় অপরাধ করার সুযোগ পান আর তাই আমি দুর্ঘটনাবশত অপরাধ করার সুযোগ পেয়েছি, কিন্তু আমি"
"হয়তো সেখানে পাড়া হইতে রাজ্যের ছেলে জোটাইয়া বসিবে, নয় তো কোন্‌ গোরার সঙ্গে মারামারি বাধাইয়া দিবে–কিছু বলা যায় না।","য়তো রাষ্ট্রের ছেলে প্রতিবেশী থেকে আসবে, অথবা কোন গোরার সাথে যুদ্ধ করবে- কিছুই বলা যায"
আমি আপত্তি করিব!,আমি আপত্তি করব!
"এখন আর একটা মাথার অনুসন্ধান কর্‌, আমি জবাব দিলাম।","এখন তোমার মাথা তল্লাশি করো, আমি উত্তর দিলাম।"
সন্ধান করিয়া কি খবর লওয়া যায় না।,অনুসন্ধান করে আমরা কি খবর পেতে পারি না।
সাবেক বাসায় থাকতে হঠাৎ তোমার ডায়ারি হারিয়েছিল।,তোমার আগের বাড়িতে থাকার সময় হঠাৎ করেই তোমার ডায়ারি হারিয়ে গিয়েছিল।
সকালবেলায় বৈষ্ণব ভিক্ষুক খোল-করতাল বাজাইয়া গান জুড়িয়া দিয়াছিল।,সকালে বৈষ্ণব ভিক্ষুক খোল-করতাল বাজিয়ে গান গায়।
স্বর্গ নেই।,এখানে কোন স্বর্গ নেই।
মেয়েরা যে এখানে কোনো-এক জায়গায় আছে তাহা লক্ষ্য করা সে অশিষ্টতা বলিয়া গণ্য করিল।,"িনি মনে করেছিলেন যে, মেয়েরা এখানে কিছু একটা জায়গায় আছে, তা লক্ষ করা অশিষ"
"আমার বিশ্বাস, আমাদের দলের যারা আপনি ঝরে পড়ে, ইন্দ্রনাথ আমার মতোই তাদের ঝেঁটিয়ে ফেলে পুলিসের পাঁশতলায়।","মি বিশ্বাস করি, আমাদের দলের যারা বাইরে পড়ে গেছে, ইন্দ্রনাথ আমার মতো তাদের পুলিশ স্টেশনের "
ঐ নগ্ন আসবাবের স্বর্গ থেকে আমার বিদায়।,নগ্ন আসবাবপত্রের স্বর্গ থেকে বিদায়।
"তোমাদের শক্তি তোমাদের নিজের নয়, ও মহামায়ার।","তোমার শক্তি তোমার নিজের নয়, সে মহামায়া।"
গোরা ছাতের উপর দাঁড়াইয়া পূর্ব দিকের রক্তিম আকাশে চাহিয়া একটি দীর্ঘ-নিশ্বাস ফেলিল।,গোরা ছাদের ওপর দাঁড়িয়ে পূর্ব দিকের লাল আকাশের দিকে তাকিয়ে দীর্ঘ নিঃশ্বাস ফেলল।
"সেইজন্যেই দেখিতেছি , আমার ভিতরকার শ্মশানচারী সন্ন্যাসীটা অট্টহাস্যে আপনাকে আপনি পরিহাস করিতে বসিয়াছে।",তাই আমি দেখতে পাচ্ছি আমার ভিতরের শ্মশানচারী সন্ন্যাসীটি তোমাকে নিয়ে হাসাহাসি করছে।
"রমেশ গাজিপুরে প্র্যাকটিস করিতেছিল, এতদিন নিজেকে যথেষ্ট গোপনেই রাখিয়াছিল, ইতিমধ্যে এমন কী ঘটিল যাহাতে সে সেখানকার প্র্যাকটিস ছাড়িয়া দিয়া আবার সাহসপূর্বক কলুটোলার গলির মধ্যে আত্মপ্রকাশ করিবার জন্য উপস্থিত হইয়াছে।","মেশ গাজীপুরে অনুশীলন করছিলেন, অনেক দিন ধরে নিজেকে গোপন রেখেছিলেন, এমন কিছু ঘটেছিল যে তিনি সেখানে অনু"
বিপিন।,বিডেন।
এ কথা আর বুঝতে বাকি নেই যে আমার মধ্যে একটা-কিছু আছে যেটা– কী বলব?,আমার কাছে এমন কিছু আছে যা আমি আর বুঝতে পারছি না - কী বলতে হবে?
ভোরেবেলায় উঠে চিঠিখানি নিয়ে দেবদারুর ছায়ায় সেই বাঁকা পথে সে বেড়াতে বেরোল।,সকালে ঘুম থেকে উঠে তিনি চিঠিটা নিয়ে দেবদারুর ছায়ায় ঘুরে বেড়াতে বের হন।
যাইতে যাইতে সম্মুখের পায়ে ভর দিয়া অশ্ব তিন বার পড়িয়া গেল।,ঘোড়াটা সামনের পায়ে তিন বার পড়ে গেল।
এর পাশেই শোবার ঘর।,এর পাশেই শোবার ঘর।
সেণ্টেন্স আর বড়ো বড়ো শব্দগুলো মুখস্থ করা আমার পক্ষে ভারি শক্ত হবে।,আমার পক্ষে সেন্টেন্স আর বড় শব্দ মনে রাখা কঠিন হবে।
"অন্নদাবাবুরা যে কাশীতে আছেন, কোন্‌দিন রমেশ কোথা হইতে সে খবর পাইবে এবং নিশ্চয়ই সেখানে গিয়া হাজির হইবে।","অন্নদাবাবুরা যে কাশীতে আছেন, রমেশ কোথা থেকে খবর পাবেন আর অবশ্যই সেখানে আসবেন।"
শৈল।,শৈল।
শৈল।,শৈল।
আমার স্বামীর অন্তরের একটি গভীর বেদনা তাঁর মুখের উপর ছায়া ফেলে চলে গেল।,আমার স্বামীর হৃদয়ে এক গভীর ব্যথা তার মুখের ওপর ছায়া ফেলে গিয়েছিল।
"আমি মনে মনে জানলুম, এ আমার সতীত্বের তেজ।","আমি আমার মনে জানতাম যে, এটা আমার কুমারীত্বের শক্তি।"
"হইয়া আপনাকে দেখিতাম, মুগ্ধ হইতাম এবং ভালোবাসিতাম এবং আদর করিতাম, অথচ প্রাণের ভিতরে একটা দীর্ঘনিশ্বাস সন্ধ্যাবাতাসের মতো হূহূ করিয়া উঠিত।","মি তোমাকে দেখতাম, মুগ্ধ হতাম এবং ভালবাসতাম এবং ভালবাসতাম, কিন্তু আমার হৃদয়ে একটা দীর্ঘশ্বাস সন্ধ"
"উনি আমার সম্পর্কে নাতি হন– সেইজন্যে ওঁর সম্বন্ধে আমার রসনা কিছু শিথিল, যদি কখনো এক বলতে আর বলি সেটা মাপ করবেন।","ে আমার সম্পর্কে নাতি- তাই তার সম্পর্কে আমার রসবোধ কিছুটা শিথিল, যদি আমি কখনো তাক"
সেইজন্যে বাঁচবার শখ মেটাবার জন্যে এমন কিছুকে সে খুঁজে বেড়ায় যা প্রাণের চেয়ে অনেক বেশি।,"াই, তিনি বেঁচে থাকার শখ মেটানোর জন্য এমন কিছু খুঁজে থাকেন, যা তার জীবনের চেয়ে আরও "
এই ছোটো একটি অপরূপ পরিপূর্ণতাকে চারদিকে ভ্রূকুটি করে ঘিরে আছে বড়োনামওআলা বড়োছায়াওআলা বিকৃতি।,এই ছোট সুন্দর পরিপূর্ণতা বড়নামওআলা বড়ছায়াওআলা বিকৃতি দ্বারা বেষ্টিত।
সমস্ত বিশ্বাসের কাজ এর হাত দিয়েই সম্পন্ন হয়।,সমস্ত বিশ্বাসের কাজ এর হাত দিয়ে করা হয়।
"নিজের ‘পরে ওর বিশ্বাস যেমন, ওর প্রতি ওর সহযোগীদের তেমনি বিশ্বাস।","তার নিজের ""পরে"" তার বিশ্বাস, তার সহযোগীদের বিশ্বাস।"
দুঃসাধ্য তাঁর তপস্যা।,এটা তার কাজ।
